"Website","Title","Author","Publication Date","Link","Picture Link","Category","Topic","Relevance"
"RT","Corruption-hit aide still calling shots in Kiev – media","RT","2025-12-21T09:52:05","https://www.rt.com/russia/629835-corruption-scandal-yermak-zelensky/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/6947c1a12030272a716f4d9e.jpg","","Unknown","2"
"RT","Google sued for using AI to snoop on users","RT","2025-11-13T15:33:13","https://www.rt.com/business/627746-google-privacy-lawsuit-ai/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.11/thumbnail/6915e88e2030273119632e7e.jpg","Бизнес","Science and tech","1"
"RT","Chinese company makes historic rocket debut (VIDEO)","RT","2025-12-03T17:11:35","https://www.rt.com/business/628866-chinese-firm-reusable-rocket/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/693038bc2030271a121cec56.png","Бизнес","Politics","1"
"Vedomosti.ru","«Рецепт счастья»: едим дома","Роман Черкасов","2025-08-22T00:01:32","https://www.vedomosti.ru/media/columns/2025/08/22/1133386-retsept-schastya-edim-doma","https://cdn.vdmsti.ru/image/2025/6h/1djd7l/normal-1s78.jpg","Медиа","Health","1"
"Vedomosti.ru","Банки занялись мошенниками","Ярослав Сталь","2025-10-20T00:06:33","https://www.vedomosti.ru/opinion/columns/2025/10/20/1148092-banki-zanyalis-moshennikami","https://cdn.vdmsti.ru/image/2025/85/7uvh/normal-a6.jpg","Мнения","Economics","1"
"RT","US tech giants advising foreign workers not to leave country – media","RT","2025-12-22T03:37:02","https://www.rt.com/news/629858-us-tech-foreign-workers/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/6948b85285f540288c3ebb52.jpg","Новости","Science and tech","2"
"Vedomosti.ru","""Даниил Егоров: «Важна взаимность – когда и налоговая открыта, и плательщик честен»""","""Дарья Мосолкина, Анастасия Бойко, Ирина Казьмина""","2025-11-24T00:00:13","https://www.vedomosti.ru/economics/characters/2025/11/24/1157355-daniil-egorov-vazhna-vzaimnost","https://cdn.vdmsti.ru/image/2025/93/1do0bj/normal-1sd9.jpg","Экономика / Налоги и сборы","Politics","1"
"Vedomosti.ru","Роскомнадзор ограничил доступ к Roblox","Ведомости","2025-12-03T17:15:07","https://www.vedomosti.ru/technology/news/2025/12/03/1160293-roskomnadzor-ogranichil-roblox","https://cdn.vdmsti.ru/image/2025/9d/11u7vm/normal-1d1f.jpg","Технологии / Интернет и digital","Science and tech","1"
"Vedomosti.ru","«Аркадия»: обратно к человеку","Наталья Витвицкая","2025-03-21T00:15:41","https://www.vedomosti.ru/opinion/columns/2025/03/21/1099299-arkadiya-obratno-k-cheloveku","https://cdn.vdmsti.ru/image/2025/27/1e67ua/normal-1t0u.jpg","Мнения","Unknown","1"
"RG","ЦБ подготовил концепцию регулирования криптовалют в России","RG","2025-12-23T20:42:01","https://rg.ru/2025/12/23/risk-delo-reguliatornoe.html","","","Unknown","4"
